ordernumber,orderdate,productline,country,quantityordered,priceeach,sales,total_sales,dealsize
10107,2003-02-24 00:00:00,Motorcycles,USA,30,95.7,2871.0,2871.0,Small
10121,2003-05-07 00:00:00,Motorcycles,France,34,81.35,2765.9,2765.8999999999996,Small
10134,2003-07-01 00:00:00,Motorcycles,France,41,94.74,3884.34,3884.3399999999997,Medium
10145,2003-08-25 00:00:00,Motorcycles,USA,45,83.26,3746.7,3746.7000000000003,Medium
10159,2003-10-10 00:00:00,Motorcycles,USA,49,100.0,5205.27,4900.0,Medium
10168,2003-10-28 00:00:00,Motorcycles,USA,36,96.66,3479.76,3479.7599999999998,Medium
10180,2003-11-11 00:00:00,Motorcycles,France,29,86.13,2497.77,2497.77,Small
10188,2003-11-18 00:00:00,Motorcycles,Norway,48,100.0,5512.32,4800.0,Medium
10201,2003-12-01 00:00:00,Motorcycles,USA,22,98.57,2168.54,2168.54,Small
10211,2004-01-15 00:00:00,Motorcycles,France,41,100.0,4708.44,4100.0,Medium
10223,2004-02-20 00:00:00,Motorcycles,Australia,37,100.0,3965.66,3700.0,Medium
10237,2004-04-05 00:00:00,Motorcycles,USA,23,100.0,2333.12,2300.0,Small
10251,2004-05-18 00:00:00,Motorcycles,USA,28,100.0,3188.64,2800.0,Medium
10263,2004-06-28 00:00:00,Motorcycles,USA,34,100.0,3676.76,3400.0,Medium
10275,2004-07-23 00:00:00,Motorcycles,France,45,92.83,4177.35,4177.35,Medium
10285,2004-08-27 00:00:00,Motorcycles,USA,36,100.0,4099.68,3600.0,Medium
10299,2004-09-30 00:00:00,Motorcycles,Finland,23,100.0,2597.39,2300.0,Small
10309,2004-10-15 00:00:00,Motorcycles,Norway,41,100.0,4394.38,4100.0,Medium
10318,2004-11-02 00:00:00,Motorcycles,USA,46,94.74,4358.04,4358.04,Medium
10329,2004-11-15 00:00:00,Motorcycles,USA,42,100.0,4396.14,4200.0,Medium
10341,2004-11-24 00:00:00,Motorcycles,Austria,41,100.0,7737.93,4100.0,Large
10361,2004-12-17 00:00:00,Motorcycles,Australia,20,72.55,1451.0,1451.0,Small
10375,2005-02-03 00:00:00,Motorcycles,France,21,34.91,733.11,733.1099999999999,Small
10388,2005-03-03 00:00:00,Motorcycles,USA,42,76.36,3207.12,3207.12,Medium
10403,2005-04-08 00:00:00,Motorcycles,UK,24,100.0,2434.56,2400.0,Small
10417,2005-05-13 00:00:00,Motorcycles,Spain,66,100.0,7516.08,6600.0,Large
10103,2003-01-29 00:00:00,Classic Cars,Norway,26,100.0,5404.62,2600.0,Medium
10112,2003-03-24 00:00:00,Classic Cars,Sweden,29,100.0,7209.11,2900.0,Large
10126,2003-05-28 00:00:00,Classic Cars,Spain,38,100.0,7329.06,3800.0,Large
10140,2003-07-24 00:00:00,Classic Cars,USA,37,100.0,7374.1,3700.0,Large
10150,2003-09-19 00:00:00,Classic Cars,Singapore,45,100.0,10993.5,4500.0,Large
10163,2003-10-20 00:00:00,Classic Cars,USA,21,100.0,4860.24,2100.0,Medium
10174,2003-11-06 00:00:00,Classic Cars,Australia,34,100.0,8014.82,3400.0,Large
10183,2003-11-13 00:00:00,Classic Cars,USA,23,100.0,5372.57,2300.0,Medium
10194,2003-11-25 00:00:00,Classic Cars,France,42,100.0,7290.36,4200.0,Large
10206,2003-12-05 00:00:00,Classic Cars,Canada,47,100.0,9064.89,4700.0,Large
10215,2004-01-29 00:00:00,Classic Cars,USA,35,100.0,6075.3,3500.0,Medium
10228,2004-03-10 00:00:00,Classic Cars,USA,29,100.0,6463.23,2900.0,Medium
10245,2004-05-04 00:00:00,Classic Cars,USA,34,100.0,6120.34,3400.0,Medium
10258,2004-06-15 00:00:00,Classic Cars,Japan,32,100.0,7680.64,3200.0,Large
10270,2004-07-19 00:00:00,Classic Cars,Australia,21,100.0,4905.39,2100.0,Medium
10280,2004-08-17 00:00:00,Classic Cars,Italy,34,100.0,8014.82,3400.0,Large
10291,2004-09-08 00:00:00,Classic Cars,Sweden,37,100.0,7136.19,3700.0,Large
10304,2004-10-11 00:00:00,Classic Cars,France,47,100.0,10172.7,4700.0,Large
10312,2004-10-21 00:00:00,Classic Cars,USA,48,100.0,11623.7,4800.0,Large
10322,2004-11-04 00:00:00,Classic Cars,USA,40,100.0,6000.4,4000.0,Medium
10333,2004-11-18 00:00:00,Classic Cars,USA,26,100.0,3003.0,2600.0,Medium
10347,2004-11-29 00:00:00,Classic Cars,Australia,30,100.0,3944.7,3000.0,Medium
10357,2004-12-10 00:00:00,Classic Cars,USA,32,100.0,5691.84,3200.0,Medium
10369,2005-01-20 00:00:00,Classic Cars,USA,41,100.0,4514.92,4100.0,Medium
10381,2005-02-17 00:00:00,Classic Cars,USA,36,100.0,8254.8,3600.0,Large
10391,2005-03-09 00:00:00,Classic Cars,Australia,24,100.0,2416.56,2400.0,Small
10411,2005-05-01 00:00:00,Classic Cars,Canada,23,100.0,4140.23,2300.0,Medium
10424,2005-05-31 00:00:00,Classic Cars,Spain,50,100.0,12001.0,5000.0,Large
10107,2003-02-24 00:00:00,Motorcycles,USA,39,99.91,3896.49,3896.49,Medium
10120,2003-04-29 00:00:00,Motorcycles,Australia,29,96.34,2793.86,2793.86,Small
10134,2003-07-01 00:00:00,Motorcycles,France,27,100.0,3307.77,2700.0,Medium
10145,2003-08-25 00:00:00,Motorcycles,USA,37,100.0,5192.95,3700.0,Medium
10159,2003-10-10 00:00:00,Motorcycles,USA,37,100.0,5016.83,3700.0,Medium
10168,2003-10-28 00:00:00,Motorcycles,USA,27,100.0,3660.93,2700.0,Medium
10180,2003-11-11 00:00:00,Motorcycles,France,42,100.0,4695.6,4200.0,Medium
10188,2003-11-18 00:00:00,Motorcycles,Norway,38,96.34,3660.92,3660.92,Medium
10201,2003-12-01 00:00:00,Motorcycles,USA,24,100.0,3025.92,2400.0,Medium
10210,2004-01-12 00:00:00,Motorcycles,Japan,23,100.0,3009.09,2300.0,Medium
10223,2004-02-20 00:00:00,Motorcycles,Australia,47,100.0,5422.39,4700.0,Medium
10236,2004-04-03 00:00:00,Motorcycles,USA,22,100.0,2852.08,2200.0,Small
10251,2004-05-18 00:00:00,Motorcycles,USA,44,100.0,5756.52,4400.0,Medium
10263,2004-06-28 00:00:00,Motorcycles,USA,40,100.0,4472.0,4000.0,Medium
10275,2004-07-23 00:00:00,Motorcycles,France,22,100.0,2904.44,2200.0,Small
10285,2004-08-27 00:00:00,Motorcycles,USA,47,100.0,6484.59,4700.0,Medium
10298,2004-09-27 00:00:00,Motorcycles,France,39,96.34,3757.26,3757.26,Medium
10308,2004-10-15 00:00:00,Motorcycles,USA,34,100.0,4043.96,3400.0,Medium
10318,2004-11-02 00:00:00,Motorcycles,USA,45,100.0,5566.5,4500.0,Medium
10329,2004-11-15 00:00:00,Motorcycles,USA,20,100.0,3176.0,2000.0,Medium
10339,2004-11-23 00:00:00,Motorcycles,Japan,40,68.92,2756.8,2756.8,Small
10361,2004-12-17 00:00:00,Motorcycles,Australia,26,51.15,1329.9,1329.8999999999999,Small
10374,2005-02-02 00:00:00,Motorcycles,Australia,39,100.0,5288.01,3900.0,Medium
10388,2005-03-03 00:00:00,Motorcycles,USA,50,44.51,2225.5,2225.5,Small
10402,2005-04-07 00:00:00,Motorcycles,France,45,100.0,5833.8,4500.0,Medium
10417,2005-05-13 00:00:00,Motorcycles,Spain,45,100.0,5887.35,4500.0,Medium
10107,2003-02-24 00:00:00,Motorcycles,USA,27,100.0,6065.55,2700.0,Medium
10120,2003-04-29 00:00:00,Motorcycles,Australia,46,100.0,9264.86,4600.0,Large
10134,2003-07-01 00:00:00,Motorcycles,France,31,100.0,7023.98,3100.0,Large
10145,2003-08-25 00:00:00,Motorcycles,USA,33,100.0,5176.38,3300.0,Medium
10159,2003-10-10 00:00:00,Motorcycles,USA,22,100.0,4132.7,2200.0,Medium
10168,2003-10-28 00:00:00,Motorcycles,USA,20,100.0,4183.0,2000.0,Medium
10180,2003-11-11 00:00:00,Motorcycles,France,41,100.0,8892.9,4100.0,Large
10188,2003-11-18 00:00:00,Motorcycles,Norway,45,100.0,8714.7,4500.0,Large
10201,2003-12-01 00:00:00,Motorcycles,USA,49,100.0,8065.89,4900.0,Large
10210,2004-01-12 00:00:00,Motorcycles,Japan,34,100.0,6123.4,3400.0,Medium
10223,2004-02-20 00:00:00,Motorcycles,Australia,49,100.0,9774.03,4900.0,Large
10237,2004-04-05 00:00:00,Motorcycles,USA,39,100.0,7023.9,3900.0,Large
10251,2004-05-18 00:00:00,Motorcycles,USA,43,100.0,7078.23,4300.0,Large
10263,2004-06-28 00:00:00,Motorcycles,USA,41,100.0,8336.94,4100.0,Large
10275,2004-07-23 00:00:00,Motorcycles,France,36,100.0,6901.92,3600.0,Medium
10285,2004-08-27 00:00:00,Motorcycles,USA,27,100.0,5438.07,2700.0,Medium
10299,2004-09-30 00:00:00,Motorcycles,Finland,29,100.0,6683.34,2900.0,Medium
10308,2004-10-15 00:00:00,Motorcycles,USA,20,100.0,4570.4,2000.0,Medium
10318,2004-11-02 00:00:00,Motorcycles,USA,37,100.0,7667.14,3700.0,Large
10329,2004-11-15 00:00:00,Motorcycles,USA,26,100.0,5868.2,2600.0,Medium
10339,2004-11-23 00:00:00,Motorcycles,Japan,39,76.67,2990.13,2990.13,Small
10362,2005-01-05 00:00:00,Motorcycles,USA,22,100.0,3664.1,2200.0,Medium
10374,2005-02-02 00:00:00,Motorcycles,Australia,22,100.0,3834.38,2200.0,Medium
10388,2005-03-03 00:00:00,Motorcycles,USA,21,86.77,1822.17,1822.1699999999998,Small
10403,2005-04-08 00:00:00,Motorcycles,UK,66,100.0,11886.6,6600.0,Large
10417,2005-05-13 00:00:00,Motorcycles,Spain,56,100.0,9218.16,5600.0,Large
10105,2003-02-11 00:00:00,Classic Cars,Denmark,50,100.0,7208.0,5000.0,Large
10119,2003-04-28 00:00:00,Classic Cars,Austria,46,100.0,5004.8,4600.0,Medium
10129,2003-06-12 00:00:00,Classic Cars,UK,33,100.0,4398.24,3300.0,Medium
10143,2003-08-10 00:00:00,Classic Cars,USA,49,100.0,5597.76,4900.0,Medium
10155,2003-10-06 00:00:00,Classic Cars,Finland,32,100.0,4526.08,3200.0,Medium
10167,2003-10-23 00:00:00,Classic Cars,Sweden,44,100.0,5924.16,4400.0,Medium
10178,2003-11-08 00:00:00,Classic Cars,France,24,100.0,3492.48,2400.0,Medium
10186,2003-11-14 00:00:00,Classic Cars,UK,26,100.0,3854.24,2600.0,Medium
10197,2003-11-26 00:00:00,Classic Cars,Spain,45,100.0,5324.4,4500.0,Medium
10209,2004-01-09 00:00:00,Classic Cars,USA,39,100.0,5197.92,3900.0,Medium
10222,2004-02-19 00:00:00,Classic Cars,USA,49,100.0,5997.6,4900.0,Medium
10248,2004-05-07 00:00:00,Classic Cars,USA,20,100.0,2910.4,2000.0,Small
